id_user,amount,type,category,date,description
1,2,Расход,party,2024-04-14,I wanna party
1,2,Расход,party,2024-04-14,I wanna party
1,2,Расход,party,2024-04-14,I wanna party
1,2,Расход,party,2024-04-14,I wanna party
1,2,Расход,party,2024-04-14,I wanna party
1,14,Расход,plane,2024-04-14,I wanna go to school
1,14,Расход,plane,2024-04-14,I wanna go to school
1,14,Расход,plane,2024-04-14,I wanna go to school
1,14,Расход,plane,2024-04-14,I wanna go to school
1,14,Расход,plane,2024-04-14,I wanna go to school
